"","Gene","HV","Pi","D"
"1","AT1G01010","all_genes",0.00057629677854841,-1.38938121982224
"2","AT1G01020","all_genes",0.00349303998250131,-0.139948329309988
"3","AT1G01030","all_genes",0.00105612396639982,-0.498963452248706
"4","AT1G01040","all_genes",0.00082107555460052,-1.62636643219975
"5","AT1G01050","all_genes",0.00011951432085987,-0.909430553342958
"6","AT1G01060","all_genes",0.00152732491320853,-0.355177760877001
"7","AT1G01070","all_genes",0.00172974966533173,-0.686189703395532
"8","AT1G01080","all_genes",0.00167235966017344,-0.795724962038748
"9","AT1G01090","all_genes",0.00157689477719528,-1.01591530514087
"10","AT1G01100","all_genes",0.00214811900400337,-1.32614588508701
"11","AT1G01110","all_genes",0.00285165020117433,-1.13054649581102
"12","AT1G01120","all_genes",0.00114611695808321,-1.46566896057247
"13","AT1G01130","all_genes",0.00292234172541587,-0.118314150164424
"14","AT1G01140","all_genes",0.00070505102381014,-0.345718424331284
"15","AT1G01150","all_genes",0.00392911027885169,0.781339692865109
"16","AT1G01160","all_genes",0.00188512932147891,-0.0926427917970071
"17","AT1G01170","all_genes",0.00202814758432705,-1.31566928165181
"18","AT1G01180","all_genes",0.00579635674638857,0.188851875448574
"19","AT1G01190","all_genes",0.00376845745115278,0.844765389053012
"20","AT1G01200","all_genes",0.00557650652232608,0.354664899942595
"21","AT1G01210","all_genes",0,NA
"22","AT1G01220","all_genes",0.00344942273162644,0.294200677139231
"23","AT1G01225","all_genes",0.00261940736946312,-0.549155269353334
"24","AT1G01230","all_genes",0.00216847372810675,0.487605560828592
"25","AT1G01240","all_genes",0.00214243008497545,-0.149769707521879
"26","AT1G01250","all_genes",0.00193138518287395,-0.0550631811330729
"27","AT1G01260","all_genes",0.00143933690636545,-0.63241143199718
"28","AT1G01280","all_genes",0.00108341240508284,-1.86663885710031
"29","AT1G01290","all_genes",0.0014186239092267,-1.10552736366798
"30","AT1G01300","all_genes",0.00830989286647678,0.773330981508024
"31","AT1G01305","all_genes",0.00268548568923048,-0.503635100451678
"32","AT1G01310","all_genes",0.00491007094048206,-0.404409158233114
"33","AT1G01320","all_genes",0.00194955195717707,-0.527758214961359
"34","AT1G01335","all_genes",0.00516277405236695,0.678179134045092
"35","AT1G01340","all_genes",0.00383170621308932,1.67298113434337
"36","AT1G01350","all_genes",0.0029898286995984,1.26329811149182
"37","AT1G01355","all_genes",0.00331959321471029,-0.879040809460247
"38","AT1G01360","all_genes",0.00347655775277564,0.0330458721934559
"39","AT1G01370","all_genes",0.00424445077107348,0.818185299629342
"40","AT1G01380","all_genes",0.00030387365868267,-0.907391723008748
"41","AT1G01390","all_genes",0.00130146419074233,-0.923891375695321
"42","AT1G01400","all_genes",0.00337423646581701,-0.999513935631684
"43","AT1G01410","all_genes",0.00091484332608195,-1.6263661785172
"44","AT1G01420","all_genes",0.00185535184657125,-1.35382105953053
"45","AT1G01430","all_genes",0.00221672264692414,-0.0202484791095432
"46","AT1G01440","all_genes",0.00113371144835556,-1.56118509043218
"47","AT1G01450","all_genes",0.00367967825800493,-1.2720621494228
"48","AT1G01453","all_genes",0.00519192566191066,-0.442271634322946
